Killed 0 pending application instances
DEBUG 2022-05-09 13:49:14,479 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\gis\db\models\proxy.py first seen with mtime 1631533786.5669088
DEBUG 2022-05-09 13:49:14,479 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\rest_framework\settings.py first seen with mtime 1631810655.3844893
DEBUG 2022-05-09 13:49:14,480 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\traceback.py first seen with mtime 1630348526.0
DEBUG 2022-05-09 13:49:14,480 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\asyncio\protocols.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,480 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\compat\__init__.py first seen with mtime 1634321888.6102986
DEBUG 2022-05-09 13:49:14,480 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\gis\geos\prototypes\__init__.py first seen with mtime 1631533786.6137726
DEBUG 2022-05-09 13:49:14,480 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\decimal.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,480 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\concurrent\futures\__init__.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,480 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\core\files\move.py first seen with mtime 1631533788.0329723
DEBUG 2022-05-09 13:49:14,480 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\asyncio\windows_events.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,480 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\utils\http.py first seen with mtime 1631533788.3543153
DEBUG 2022-05-09 13:49:14,480 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\views\generic\__init__.py first seen with mtime 1631533788.3855574
DEBUG 2022-05-09 13:49:14,481 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\email\_parseaddr.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,481 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\core\servers\basehttp.py first seen with mtime 1631533788.079837
DEBUG 2022-05-09 13:49:14,481 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\db\models\fields\related_descriptors.py first seen with mtime 1631533788.19403
DEBUG 2022-05-09 13:49:14,481 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\template\smartif.py first seen with mtime 1631533788.3074515
DEBUG 2022-05-09 13:49:14,481 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\lib\twodim_base.py first seen with mtime 1634321889.011235
DEBUG 2022-05-09 13:49:14,481 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\email\charset.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,481 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\asyncio\staggered.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,481 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\asyncio\constants.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,481 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\email\mime\text.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,482 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\pkg_resources\_vendor\packaging\markers.py first seen with mtime 1631533774.6637268
DEBUG 2022-05-09 13:49:14,482 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\urllib3\poolmanager.py first seen with mtime 1649661466.6984527
DEBUG 2022-05-09 13:49:14,482 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\socket.py first seen with mtime 1630348526.0
DEBUG 2022-05-09 13:49:14,482 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\asyncio\log.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,483 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\utils\connection.py first seen with mtime 1631533788.3386936
DEBUG 2022-05-09 13:49:14,483 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\requests\packages.py first seen with mtime 1649661467.2765772
DEBUG 2022-05-09 13:49:14,483 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\charset_normalizer\api.py first seen with mtime 1649661467.0734532
DEBUG 2022-05-09 13:49:14,483 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\urllib3\util\connection.py first seen with mtime 1649661466.729704
DEBUG 2022-05-09 13:49:14,483 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\asyncio\streams.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,484 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\urllib3\fields.py first seen with mtime 1649661466.6984527
DEBUG 2022-05-09 13:49:14,484 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\quopri.py first seen with mtime 1630348526.0
DEBUG 2022-05-09 13:49:14,484 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1631533785.8185074
DEBUG 2022-05-09 13:49:14,484 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1631533788.2059982
DEBUG 2022-05-09 13:49:14,484 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\contrib\gis\geos\io.py first seen with mtime 1631533786.6137726
DEBUG 2022-05-09 13:49:14,484 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1631533788.0954578
DEBUG 2022-05-09 13:49:14,485 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\urls\converters.py first seen with mtime 1631533788.3386936
DEBUG 2022-05-09 13:49:14,485 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\idna\intranges.py first seen with mtime 1648455067.5068526
DEBUG 2022-05-09 13:49:14,485 autoreload File C:\Users\leont\AppData\Local\Programs\Python\Python39\Lib\bz2.py first seen with mtime 1630348524.0
DEBUG 2022-05-09 13:49:14,485 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1631533788.3386936
DEBUG 2022-05-09 13:49:14,485 autoreload File C:\Users\leont\PycharmProjects\bplocalproject\venv\Lib\site-packages\numpy\lib\function_base.py first seen with mtime 1634321888.9956064
